"genus_species","iucn_authority","iucn_category"
"Brotula clarkae","Hubbs, 1944","dd"
"Barbulifer mexicanus","Hoese &amp; Larson, 1985","dd"
"Evermannia longipinnis","(Steindachner, 1879)","dd"
"Exocoetus peruvianus","(Parin &amp; Shakhovskoy 2000)","dd"
"Tomicodon prodomus","Briggs, 1969","dd"
"Lythrypnus solanensis","Acero P., 1981","dd"
"Barbulifer pantherinus","(Pellegrin, 1901)","dd"
"Emblemaria walkeri","Stephens, 1963","dd"
"Hypsoblennius caulopus","(Gilbert, 1898)","dd"
"Carapus dubius","(Putnam, 1874)","dd"
"Starksia lepidogaster","Rosenblatt &amp; Taylor, 1971","dd"
"Aplochiton marinus","Eigenmann, 1928","dd"
"Coris nigrotaenia","Mee &amp; Hare, 1995","dd"
"Bodianus tanyokidus","Gomon &amp; Madden, 1981","dd"
"Leptojulis lambdastigma","Randall &amp; Ferraris, 1981","dd"
"Xyrichtys rajagopalani","Venkataramanujam, Venkataramani &amp; Ramanathan, 1987","dd"
"Thalassoma sanctaehelenae","(Valenciennes, 1839)","dd"
"Iniistius cyanifrons","(Valenciennes, 1840)","dd"
"Cirrhilabrus tonozukai","Allen &amp; Kuiter, 1999","dd"
"Bodianus thoracotaeniatus","Yamamoto, 1982","dd"
"Iniistius trivittatus","(Randall &amp; Cornish, 2000)","dd"
"Thalassoma loxum","Randall &amp; Mee, 1994","dd"
"Halichoeres bleekeri","(Steindachner &amp; Döderlein, 1887)","dd"
"Pteragogus aurigarius","(Richardson, 1845)","dd"
"Bodianus neopercularis","Gomon, 2006","dd"
"Wetmorella tanakai","Randall &amp; Kuiter, 2007","dd"
"Cirrhilabrus brunneus","Allen, 2006","dd"
"Cirrhilabrus exquisitus","Smith, 1957","dd"
"Xyrichtys koteamea","Randall &amp; Allen, 2004","dd"
"Choerodon gymnogenys","(Günther, 1867)","dd"
"Pseudojuloides elongatus","Ayling &amp; Russell, 1977","dd"
"Cirrhilabrus solorensis","Bleeker, 1853","dd"
"Thalassoma septemfasciatum","Scott, 1959","dd"
"Iniistius javanicus","(Bleeker, 1862)","dd"
"Bodianus speciosus","(Bowdich, 1825)","dd"
"Bodianus solatus","Gomon, 2006","dd"
"Paracheilinus carpenteri","Randall &amp; Lubbock, 1981","dd"
"Larabicus quadrilineatus","(Rüppell, 1835)","dd"
"Bodianus paraleucosticticus","Gomon, 2006","dd"
"Halichoeres raisneri","Baldwin &amp; McCosker, 2001","dd"
"Cirrhilabrus cyanopleura","(Bleeker, 1851)","dd"
"Lappanella guineensis","Bauchot, 1969","dd"
"Hemigymnus sexfasciatus","(Rüppell, 1835)","dd"
"Pictilabrus brauni","Hutchins &amp; Morrison, 1996","dd"
"Bodianus sepiacaudus","Gomon, 2006","dd"
"Oxycheilinus nigromarginatus","Randall, Westneat &amp; Gomon, 2003","dd"
"Clepticus africanus","Heiser, Moura &amp; Robertson, 2000","dd"
"Cirrhilabrus rubrisquamis","Randall &amp; Emery, 1983","dd"
"Halichoeres signifer","Randall &amp; Earle, 1994","dd"
"Pseudojuloides atavai","Randall &amp; Randall, 1981","dd"
"Choerodon paynei","Whitley, 1945","dd"
"Cirrhilabrus balteatus","Randall, 1988","dd"
"Bodianus rubrisos","Gomon, 2006","dd"
"Pseudocoris ocellata","Chen &amp; Shao, 1995","dd"
"Decodon grandisquamis","(Smith, 1968)","dd"
"Halichoeres pelicieri","Randall &amp; Smith, 1982","dd"
"Pseudojuloides cerasinus","(Snyder, 1904)","dd"
"Cirrhilabrus temminckii","Bleeker, 1853","dd"
"Anampses lineatus","Randall, 1972","dd"
"Bodianus flavipinnis","Gomon, 2001","dd"
"Iniistius geisha","(Araga &amp; Yoshino, 1986)","dd"
"Pseudocheilinus dispilus","Randall, 1999","dd"
"Frontilabrus caeruleus","Randall &amp; Condé, 1989","dd"
"Xyrichtys sciistius","Jordan &amp; Thompson, 1914","dd"
"Halichoeres rubricephalus","Kuiter &amp; Randall, 1995","dd"
"Decodon pacificus","(Kamohara, 1952)","dd"
"Cirrhilabrus filamentosus","(Klausewitz, 1976)","dd"
"Bodianus izuensis","Araga &amp; Yoshino, 1975","dd"
"Polylepion cruentum","Gomon, 1977","dd"
"Halichoeres brasiliensis","(Bloch, 1791)","dd"
"Malapterus reticulatus","Valenciennes, 1839","dd"
"Pseudojuloides xanthomos","Randall &amp; Randall, 1981","dd"
"Suezichthys russelli","Randall, 1981","dd"
"Cirrhilabrus joanallenae","Allen, 2000","dd"
"Pseudocoris aequalis","Randall &amp; Walsh, 2008","dd"
"Bodianus oxycephalus","(Bleeker, 1862)","dd"
"Anampses viridis","Valenciennes, 1840","dd"
"Parophidion vassali","(Risso, 1810)","dd"
"Gobius strictus","Fage, 1907","dd"
"Kuhlia rubens","(Spinola, 1807)","dd"
"Myxine hubbsoides","Wisner &amp; McMillan, 1995","dd"
"Nemamyxine elongata","Richardson, 1958","dd"
"Neomyxine biniplicata","(Richardson &amp; Jowett, 1951)","dd"
"Notomyxine tridentiger","(Garman, 1899)","dd"
"Paramyxine ancon","(Mok, Saavedra-Diaz &amp; Acero P.,  2001)","dd"
"Paramyxine atami","Dean, 1904","dd"
"Eptatretus astrolabium","Fernholm &amp; Mincarone, 2010","dd"
"Paramyxine chinensis","(Kuo &amp; Mok, 1994)","dd"
"Eptatretus bischoffii","(Schneider, 1880)","dd"
"Paramyxine moki","McMillan &amp; Wisner, 2004","dd"
"Eptatretus deani","(Evermann &amp; Goldsborough, 1907)","dd"
"Eptatretus eos","Fernholm, 1991","dd"
"Paramyxine walkeri","McMillan &amp; Wisner, 2004","dd"
"Eptatretus fernholmi","McMillan &amp; Wisner, 2004","dd"
"Eptatretus goliath","Mincarone &amp; Stewart, 2006","dd"
"Eptatretus lakeside","Mincarone &amp; McCosker, 2004","dd"
"Eptatretus lopheliae","Fernholm &amp; Quattrini, 2008","dd"
"Eptatretus mcconnaugheyi","Wisner &amp; McMillan, 1990","dd"
"Eptatretus minor","Fernholm &amp; Hubbs, 1981","dd"
"Eptatretus nanii","Wisner &amp; McMillan, 1988","dd"
"Eptatretus polytrema","(Girard, 1855)","dd"
"Eptatretus rubicundus","Kuo, Lee &amp; Mok, 2010","dd"
"Eptatretus stoutii","(Lockington, 1878)","dd"
"Eptatretus strahani","McMillan &amp; Wisner, 1984","dd"
"Myxine debueni","Wisner &amp; McMillan, 1995","dd"
"Myxine formosana","Mok &amp; Kuo, 2001","dd"
"Myxine knappi","Wisner &amp; McMillan, 1995","dd"
"Myxine kuoi","Mok, 2002","dd"
"Myxine pequenoi","Wisner &amp; McMillan, 1995","dd"
"Thalassoma ascensionis","(Quoy &amp; Gaimard, 1834)","dd"
"Prognathodes obliquus","(Lubbock &amp; Edwards, 1980)","dd"
"Polyprion americanus","(Bloch &amp; Schneider, 1801)","dd"
"Semicossyphus reticulatus","(Valenciennes, 1839)","dd"
"Choerodon azurio","(Jordan &amp; Snyder, 1901)","dd"
"Xyrichtys trivittatus","Randall &amp; Cornish, 2000","dd"
"Atherina lopeziana","Rossignol &amp; Blache, 1961","dd"
"Alepocephalus bairdii","Goode &amp; Bean, 1879","dd"
"Solea triophthalma","Bleeker, 1863","dd"
"Arnoglossus thori","Kyle, 1913","dd"
"Sudis hyalina","Rafinesque, 1810","dd"
"Pontinus kuhlii","(Bowdich, 1825)","dd"
"Microchirus azevia","(Brito Capello, 1867)","dd"
"Microchirus ocellatus","(Linnaeus, 1758)","dd"
"Solea solea","(Linnaeus, 1758)","dd"
"Synapturichthys kleinii","(Risso, 1827)","dd"
"Diaphus dumerilii","(Bleeker, 1856)","dd"
"Physiculus microbarbata","Paulin &amp; Matallanas, 1990","dd"
"Diaphus subtilis","Nafpaktitis, 1968","dd"
"Diaphus taaningi","Norman, 1930","dd"
"Lampadena anomala","Parr, 1928","dd"
"Lampadena dea","Fraser-Brunner, 1949","dd"
"Cepola pauciradiata","Cadenat, 1950","dd"
"Bothus guibei","Stauch, 1966","dd"
"Cynoglossus browni","Chabanaud, 1949","dd"
"Cynoglossus cadenati","Chabanaud, 1947","dd"
"Cynoglossus capensis","(Kaup, 1858)","dd"
"Psettodes belcheri","Bennett, 1831","dd"
"Psettodes bennettii","Steindachner, 1870","dd"
"Austroglossus pectoralis","(Kaup, 1858)","dd"
"Bathysolea lactea","Roule, 1916","dd"
"Heteromycteris proboscideus","(Chabanaud, 1925)","dd"
"Microchirus boscanion","(Chabanaud, 1926)","dd"
"Microchirus frechkopi","Chabanaud, 1952","dd"
"Microchirus theophila","(Risso, 1810)","dd"
"Pegusa cadenati","Chabanaud, 1954","dd"
"Solea senegalensis","Kaup, 1858","dd"
"Dagetichthys lusitanica","(de Brito Capello, 1868)","dd"
"Vanstraelenia chirophthalma","(Regan, 1915)","dd"
"Neomerinthe folgori","(Postel &amp; Roux, 1964)","dd"
"Scorpaena annobonae","Eschmeyer, 1969","dd"
"Scorpaenodes africanus","Pfaff, 1933","dd"
"Scorpaenodes elongatus","Cadenat, 1950","dd"
"Ogilbichthys puertoricoensis","Møller, Schwarzhans &amp; Nielsen, 2004","dd"
"Ogilbichthys tobagoensis","Møller, Schwarzhans &amp; Nielsen, 2004","dd"
"Pseudogilbia sanblasensis","Møller, Schwarzhans &amp; Nielsen, 2004","dd"
"Ogilbia mccoskeri","Møller, Schwarzhans &amp; Nielsen, 2005","dd"
"Atherinella beani","(Meek &amp; Hildebrand, 1923)","dd"
"Citharichthys uhleri","Jordan, 1889","dd"
"Caulolatilus microps","Goode &amp; Bean, 1878","dd"
"Sanopus johnsoni","Collette &amp; Starck, 1974","dd"
"Membras analis","(Schultz, 1948)","dd"
"Membras argentea","(Schultz, 1948)","dd"
"Ogilbichthys haitiensis","Møller, Schwarzhans &amp; Nielsen, 2004","dd"
"Gymnocranius oblongus","Borsa, Béarez &amp; Chen, 2010","dd"
"Etropus delsmani","Chabanaud, 1940","dd"
"Paralichthys tropicus","Ginsburg, 1933","dd"
"Pontinus helena","Eschmeyer, 1965","dd"
"Prionotus murielae","Mobray, 1928","dd"
"Siphonognathus tanyourus","Gomon &amp; Paxton, 1986","dd"
"Scarus chinensis","(Steindachner, 1867)","dd"
"Scarus zelindae","Moura, Figueiredo &amp; Sazima, 2001","dd"
"Scarus maculipinna","Westneat, Satapoomin &amp; Randall, 2007","dd"
"Sparisoma frondosum","(Agassiz, 1831)","dd"
"Scarus zufar","Randall &amp; Hoover, 1995","dd"
"Sparisoma axillare","(Steindachner, 1878)","dd"
"Scarus ovifrons","Temminck &amp; Schlegel, 1846","dd"
"Sparisoma griseorubrum","Cervigón, 1982","dd"
"Scarus coelestinus","Valenciennes, 1840","dd"
"Scarus obishime","Randall &amp; Earle, 1993","dd"
"Gaidropsarus granti","(Regan, 1903)","dd"
"Parasaccogaster melanomycter","(Cohen, 1981)","dd"
"Aulotrachichthys argyrophanus","(Woods 1961)","dd"
"Citharichthys amblybregmatus","Gutherz &amp; Blackman, 1970","dd"
"Microdesmus luscus","Dawson, 1977","dd"
"Opeatogenys cadenati","Briggs, 1957","dd"
"Astronesthes gemmifer","Goode &amp; Bean, 1896","dd"
"Eustomias patulus","Regan &amp; Trewavas, 1930","dd"
"Halieutaea hancocki","Regan, 1908","dd"
"Lophiodes kempi","(Norman, 1935)","dd"
"Lophius budegassa","Spinola, 1807","dd"
"Microdesmus africanus","Dawson, 1979","dd"
"Melamphaes hubbsi","Ebeling, 1962","dd"
"Zeus faber","Linnaeus, 1758","dd"
"Lepidopus caudatus","(Euphrasen, 1788)","dd"
"Manducus maderensis","(Johnson, 1890)","dd"
"Margrethia obtusirostra","Jespersen &amp; Tåning, 1919","dd"
"Meganthias carpenteri","Anderson, 2006","dd"
"Monognathus jesperseni","Bertin, 1936","dd"
"Monognathus taningi","Bertin, 1936","dd"
"Trachinus collignoni","Roux, 1957","dd"
"Hoplostethus vniro","Kotlyar, 1995","dd"
"Ammodytes tobianus","Linnaeus, 1758","dd"
"Sciadonus cryptophthalmus","(Zugmayer, 1911)","dd"
"Arnoglossus grohmanni","(Bonaparte, 1837)","dd"
"Melodichthys hadrocephalus","Nielsen &amp; Cohen 1986","dd"
"Cosmocampus retropinnis","Dawson, 1982","dd"
"Kumba dentoni","Marshall, 1973","dd"
"Himantolophus compressus","(Osório, 1909)","dd"
"Careproctus aciculipunctatus","Andriashev &amp; Chernova, 1997","dd"
"Careproctus merretti","Andriashev &amp; Chernova, 1988","dd"
"Paraliparis abyssorum","Andriashev &amp; Chernova, 1997","dd"
"Paraliparis bipolaris","Andriashev, 1997","dd"
"Paraliparis hystrix","Merrett, 1983","dd"
"Psednos spirohira","Chernova &amp; Stein, 2002","dd"
"Ophichthus maculatus","(Rafinesque, 1810)","dd"
"Cottunculus konstantinovi","Myagkov, 1991","dd"
"Scorpaenodes arenai","Torchio, 1962","dd"
"Sphyraena intermedia","Pastore, 2009","dd"
"Borostomias abyssorum","(Köhler, 1896)","dd"
"Starksia leucovitta","Williams &amp; Mounts, 2003","dd"
"Phenablennius heyligeri","(Bleeker, 1859)","dd"
"Minyichthys sentus","Dawson, 1982","dd"
"Syngnathus phlegon","Risso, 1827","dd"
"Syngnathus schmidti","Popov, 1928","dd"
"Epinephelus bleekeri","(Vaillant, 1878)","dd"
"Zebrias crossolepis","Zheng &amp; Chang, 1965","dd"
"Megalops cyprinoides","(Broussonet, 1782)","dd"
"Nematalosa resticularia","Nelson &amp; McCarthy, 1995","dd"
"Nematalosa persara","Nelson &amp; McCarthy, 1995","dd"
"Ilisha sirishai","Seshagiri Rao, 1975","dd"
"Parupeneus seychellensis","(Smith &amp; Smith, 1963)","dd"
"Upeneus doriae","(Günther, 1869)","dd"
"Stalix omanensis","Norman, 1939","dd"
"Plectranthias vexillarius","Randall, 1980","dd"
"Arnoglossus arabicus","Norman, 1939","dd"
"Arnoglossus tapeinosoma","(Bleeker, 1865)","dd"
"Bothus ypsigrammus","Kotthaus, 1977","dd"
"Cynoglossus arel","(Bloch &amp; Schneider, 1801)","dd"
"Cephalopsetta ventrocellatus","Dutt &amp; Rao, 1965","dd"
"Marleyella bicolorata","(von Bonde, 1922)","dd"
"Pardachirus balius","Randall &amp; Mee, 1994","dd"
"Symphurus macrophthalmus","Norman, 1939","dd"
"Sorsogona nigripinna","(Regan, 1905)","dd"
"Epinephelus drummondhayi","Goode &amp; Bean, 1878","dd"
"Mycteroperca cidi","Cervigón, 1966","dd"
"Dermatolepis inermis","(Valenciennes, 1833)","dd"
"Mycteroperca tigris","(Valenciennes, 1833)","dd"
"Mycteroperca phenax","Jordan &amp; Swain, 1884","dd"
"Lipogramma robinsi","Gilmore, 1997","dd"
"Derilissus lombardii","Sparks &amp; Gruber, 2012","dd"
"Hypoplectrus atlahua","Tavera &amp; Acero, 2013","dd"
"Syngnathus louisianae","Günther, 1870","dd"
"Eustomias acinosus","Regan &amp; Trewavas, 1930","dd"
"Eustomias polyaster","Parr, 1927","dd"
"Eustomias braueri","Zugmayer, 1911","dd"
"Cathorops wayuu","Betancur-R., Acero P. &amp; Marceniuk, 2012","dd"
"Menidia clarkhubbsi","Echelle &amp; Mosier, 1982","dd"
"Elacatinus rubrigenis","Victor, 2010","dd"
"Elacatinus panamensis","Victor, 2010","dd"
"Hypoplectrus maculiferus","Poey, 1871","dd"
"Hypoplectrus ecosur","Victor, 2012","dd"
"Minyichthys inusitatus","Dawson, 1983","dd"
"Syngnathus dawsoni","(Herald, 1969)","dd"
"Syngnathus makaxi","Herald &amp; Dawson, 1972","dd"
"Haptoclinus dropi","Baldwin &amp; Robertson, 2013","dd"
"Gobiodon micropus","Günther, 1861","dd"
"Hippocampus debelius","Gomon &amp; Kuiter, 2009","dd"
"Hippocampus pusillus","Fricke, 2004","dd"
"Hippocampus tyro","Randall &amp; Lourie, 2009","dd"
"Hippocampus colemani","Kuiter, 2003","dd"
"Dactylagnus peratikos","Böhlke &amp; Caldwell, 1961","dd"
"Alticus saliens","(Lacepède, 1800)","dd"
"Gillellus inescatus","Williams, 2002","dd"
"Omobranchus steinitzi","Springer &amp; Gomon, 1975","dd"
"Andamia heteroptera","(Bleeker, 1857)","dd"
"Starksia sella","Williams &amp; Mounts, 2003","dd"
"Antennablennius sexfasciatus","(von Bonde, 1923)","dd"
"Platygillellus smithi","Dawson, 1982","dd"
"Adelotremus leptus","Smith-Vaniz &amp; Rose, 2012","dd"
"Rhabdoblennius papuensis","Bath, 2004","dd"
"Meiacanthus reticulatus","Smith-Vaniz, 1976","dd"
"Andamia cyclocheilus","Weber, 1909","dd"
"Meiacanthus phaeus","Smith-Vaniz, 1976","dd"
"Emblemaria culmenis","Stephens, 1970","dd"
"Starksia variabilis","Greenfield, 1979","dd"
"Andamia expansa","Blyth, 1858","dd"
"Meiacanthus limbatus","Smith-Vaniz, 1987","dd"
"Antennablennius velifer","Smith, 1959","dd"
"Emblemariopsis dianae","Tyler &amp; Hastings, 2004","dd"
"Chaenopsis megalops","Smith-Vaniz, 2000","dd"
"Emblemariopsis randalli","Cervigón, 1965","dd"
"Starksia y-lineata","Gilbert, 1965","dd"
"Chaenopsis stephensi","Robins &amp; Randall, 1965","dd"
"Haptoclinus apectolophus","Böhlke &amp; Robins, 1974","dd"
"Andamia tetradactylus","(Bleeker, 1858)","dd"
"Andamia reyi","(Sauvage, 1880)","dd"
"Alloblennius frondiculus","Allen, 2012","dd"
"Emblemaria hyltoni","Johnson &amp; Greenfield, 1976","dd"
"Meiacanthus erdmanni","Smith-Vaniz &amp; Allen, 2011","dd"
"Haptogenys bipunctata","(Day, 1876)","dd"
"Rhynchogadus hepaticus","(Facciolà, 1884)","dd"
"Nansenia iberica","Matallanas, 1985","dd"
"Paraliparis murieli","Matallanas, 1984","dd"
"Eutelichthys leptochirus","Tortonese, 1959","dd"
"Panturichthys fowleri","(Ben-Tuvia, 1953)","dd"
"Didogobius bentuvii","Miller, 1966","dd"
"Microichthys sanzoi","Sparta, 1950","dd"
"Nibea coibor","(Hamilton 1822)","dd"
"Atrobucca marleyi","(Norman, 1922)","dd"
"Argyrosomus beccus","Sasaki, 1994","dd"
"Miichthys miiuy","(Basilewsky, 1855)","dd"
"Johnius philippinus","Sasaki, 1999","dd"
"Atrobucca bengalensis","Sasaki, 1995","dd"
"Atrobucca trewavasae","Talwar & Sathirajan, 1975","dd"
"Johnius mannarensis","Mohan, 1971","dd"
"Stellifer magoi","Anguilera, 1983","dd"
"Johnius elongatus","Mohan, 1976","dd"
"Pennahia ovata","Sasaki, 1996","dd"
"Nibea semifasciata","Chu, Lo & Wu, 1963","dd"
"Umbrina robinsoni","Gilchrist & Thompson, 1908","dd"
"Nibea chui","Trewavas, 1971","dd"
"Otolithoides biauritus","(Cantor, 1849)","dd"
"Argyrosomus coronus","Griffiths & Heemstra, 1995","dd"
"Pterotolithus lateoides","(Bleeker, 1850)","dd"
"Atrobucca antonbruun","Sasaki, 1995","dd"
"Crenidens macracanthus","Günther, 1874","dd"
"Polysteganus mascarenensis","Iwatsuki &amp; Heemstra, 2011","dd"
"Acanthopagrus catenula","(Lacepède, 1801)","dd"
"Rhabdosargus niger","Tanaka &amp; Iwatsuki, 2013","dd"
"Syngnathus tenuirostris","Rathke, 1837","dd"
"Hippocampus bargibanti","Whitley, 1970","dd"
"Hippocampus coronatus","Temminck &amp; Schlegel, 1850","dd"
"Hippocampus minotaur","Gomon, 1997","dd"
"Hippocampus subelongatus","Castelnau, 1873","dd"
"Hippocampus zebra","Whitley, 1964","dd"
"Hippocampus denise","Lourie &amp; Randall, 2003","dd"
"Hippocampus satomiae","Lourie &amp; Kuiter, 2008","dd"
"Hippocampus jugumus","Kuiter, 2001","dd"
"Lycenchelys platyrhina","(Jensen, 1902)","dd"
"Enneanectes wilki","Victor, 2013","dd"
"Bythites islandicus","Nielsen &amp; Cohen, 1973","dd"
"Stenogobius gymnopomus","(Bleeker, 1853)","dd"
"Elops senegalensis","Regan, 1909","dd"
"Pachypanchax playfairii","(Günther, 1866)","dd"
"Glossogobius kokius","(Valenciennes, 1837)","dd"
"Aphyonus rassi","Nielsen, 1975","dd"
"Bajacalifornia arcylepis","Markle &amp; Krefft, 1985","dd"
"Bathylaco nielseni","Sazonov &amp; Ivanov, 1980","dd"
"Barathronus multidens","Nielsen, 1984","dd"
"Barathronus parfaiti","(Vaillant, 1888)","dd"
"Nybelinella erikssoni","(Nybelin, 1957)","dd"
"Sciadonus jonassoni","(Nybelin, 1957)","dd"
"Synchiropus valdiviae","(Trunov, 1981)","dd"
"Paracaristius nudarcus","Stevenson &amp; Kenaley, 2011","dd"
"Platyberyx andriashevi","(Kukuev, Parin &amp; Trunov, 2012)","dd"
"Platyberyx mauli","Kukuev, Parin &amp; Trunov, 2012","dd"
"Caulophryne pelagica","(Brauer, 1902)","dd"
"Cetomimus compunctus","Abe, Marumo &amp; Kawaguchi, 1965","dd"
"Cetomimus gillii","Goode &amp; Bean, 1895","dd"
"Cetomimus hempeli","Maul, 1969","dd"
"Cetostoma regani","Zugmayer, 1914","dd"
"Danacetichthys galathenus","Paxton, 1989","dd"
"Ditropichthys storeri","(Goode &amp; Bean, 1895)","dd"
"Gyrinomimus myersi","Parr, 1934","dd"
"Mirapinna esau","Bertelsen &amp; Marshall, 1956","dd"
"Uroconger drachi","(Blache &amp; Bauchot, 1976)","dd"
"Gigantactis gracilicauda","Regan, 1925","dd"
"Gigantactis vanhoeffeni","Brauer, 1902","dd"
"Rhynchactis macrothrix","Bertelsen &amp; Pietsch, 1998","dd"
"Himantolophus albinares","Maul, 1961","dd"
"Himantolophus brevirostris","(Regan, 1925)","dd"
"Himantolophus macroceras","Bertelsen &amp; Krefft, 1988","dd"
"Himantolophus macroceratoides","Bertelsen &amp; Krefft, 1988","dd"
"Himantolophus multifurcatus","Bertelsen &amp; Krefft, 1988","dd"
"Himantolophus rostratus","(Regan, 1925)","dd"
"Linophryne maderensis","Maul, 1961","dd"
"Linophryne polypogon","Regan, 1925","dd"
"Linophryne racemifera","Regan &amp; Trewavas, 1932","dd"
"Linophryne sexfilis","Bertelsen, 1973","dd"
"Hymenogadus gracilis","(Gilbert &amp; Hubbs, 1920)","dd"
"Melamphaes ebelingi","Keene, 1973","dd"
"Melamphaes longivelis","Parr, 1933","dd"
"Melamphaes polylepis","Ebeling, 1962","dd"
"Melamphaes pumilus","Ebeling, 1962","dd"
"Melamphaes suborbitalis","(Gill, 1883)","dd"
"Melamphaes typhlops","(Lowe, 1843)","dd"
"Poromitra capito","Goode &amp; Bean, 1883","dd"
"Poromitra megalops","(Lütken, 1878)","dd"
"Scopelogadus beanii","(Günther, 1887)","dd"
"Nansenia longicauda","Kawaguchi &amp; Butler, 1984","dd"
"Nansenia megalopa","Kawaguchi &amp; Butler, 1984","dd"
"Nansenia pelagica","Kawaguchi &amp; Butler, 1984","dd"
"Monognathus nigeli","Bertelsen &amp; Nielsen, 1987","dd"
"Gadella svetovidovi","Trunov, 1992","dd"
"Laemonema robustum","Johnson, 1862","dd"
"Physiculus helenaensis","Paulin, 1989","dd"
"Physiculus maslowskii","Trunov, 1991","dd"
"Ctenochirichthys longimanus","Regan &amp; Trewavas, 1932","dd"
"Dolopichthys jubatus","Regan &amp; Trewavas, 1932","dd"
"Dolopichthys pullatus","Regan &amp; Trewavas, 1932","dd"
"Leptacanthichthys gracilispinis","(Regan, 1925)","dd"
"Oneirodes clarkei","Swinney &amp; Pietsch, 1988","dd"
"Oneirodes myrionemus","Pietsch, 1974","dd"
"Bassozetus oncerocephalus","(Vaillant, 1888)","dd"
"Bathyonus laticeps","(Günther, 1878)","dd"
"Lamprogrammus shcherbachevi","Cohen &amp; Rohr, 1993","dd"
"Porogadus abyssalis","Nybelin, 1957","dd"
"Porogadus nudus","Vaillant, 1888","dd"
"Porogadus subarmatus","Vaillant, 1888","dd"
"Uncisudis longirostra","Maul, 1956","dd"
"Barbantus elongatus","Krefft, 1970","dd"
"Abyssoberyx levisquamosus","Merrett &amp; Moore, 2005","dd"
"Eustomias contiguus","Gomon &amp; Gibbs, 1985","dd"
"Eustomias insularum","Clarke, 1998","dd"
"Trigla macrodactylus","Günther, 1889","dd"
"Gigantactis watermani","Bertelsen, Pietsch &amp; Lavenberg, 1981","dd"
"Scopeloberyx robustus","(Günther, 1887)","dd"
"Monolene helenensis","Amaoka &amp; Imamura, 2000","dd"
"Symphurus lubbocki","Munroe, 1990","dd"
"Symphurus reticulatus","Munroe, 1990","dd"
"Canthigaster criobe","Williams, Delrieu-Trottin &amp; Planes, 2012","dd"
"Eustomias monoclonoides","Clarke, 1999","dd"
"Eustomias tenisoni","Regan &amp; Trewavas, 1930","dd"
"Eustomias tetranema","Zugmayer, 1913","dd"
"Pelagocephalus coheni","Tyler &amp; Paxton, 1979","dd"
"Hippocampus guttulatus","Cuvier, 1829","dd"
"Hippocampus hippocampus","(Linnaeus, 1758)","dd"
"Aeoliscus punctulatus","(Bianconi, 1854)","dd"
