"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num","iucn_text"
"134","Ariosoma bauchotae","Ariosoma","Congridae","Anguilliformes","Teleostei","Karrer, 1982","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA,"Data Deficient"
"135","Hemerorhinus opici","Hemerorhinus","Ophichthidae","Anguilliformes","Teleostei","Blache &amp; Bauchot, 1972","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.325,NA,"Data Deficient"
"136","Heteroconger tomberua","Heteroconger","Congridae","Anguilliformes","Teleostei","Castle &amp; Randall, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4279999924,NA,"Data Deficient"
"137","Xyrias guineensis","Xyrias","Ophichthidae","Anguilliformes","Teleostei","(Blache, 1975)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.6359999847,NA,"Data Deficient"
"138","Ariosoma ophidiophthalmus","Ariosoma","Congridae","Anguilliformes","Teleostei","Karmovskaya, 1991","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"139","Ariosoma anagoides","Ariosoma","Congridae","Anguilliformes","Teleostei","(Bleeker, 1853)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.51,130,"Data Deficient"
"140","Dalophis obtusirostris","Dalophis","Ophichthidae","Anguilliformes","Teleostei","Blache &amp; Bauchot, 1972","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3879999924,NA,"Data Deficient"
"141","Ariosoma nigrimanum","Ariosoma","Congridae","Anguilliformes","Teleostei","Norman, 1939","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.335,NA,"Data Deficient"
"142","Heteroconger chapmani","Heteroconger","Congridae","Anguilliformes","Teleostei","(Herre, 1923)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.69,NA,"Data Deficient"
"143","Gnathophis xenica","Gnathophis","Congridae","Anguilliformes","Teleostei","(Matsubara &amp; Ochiai, 1951)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.32,NA,"Data Deficient"
"144","Gnathophis heterolinea","Gnathophis","Congridae","Anguilliformes","Teleostei","(Kotthaus, 1968)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,210,"Data Deficient"
"145","Kenyaconger heemstrai","Kenyaconger","Congridae","Anguilliformes","Teleostei","Smith &amp; Karmovskaya, 2003","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2670000076,NA,"Data Deficient"
"146","Dalophis multidentatus","Dalophis","Ophichthidae","Anguilliformes","Teleostei","Blache &amp; Bauchot, 1972","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1530000019,NA,"Data Deficient"
"147","Apterichtus gracilis","Apterichtus","Ophichthidae","Anguilliformes","Teleostei","(Kaup, 1856)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3189999962,NA,"Data Deficient"
"148","Conger philippinus","Conger","Congridae","Anguilliformes","Teleostei","Kanazawa, 1958","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"149","Histiobranchus bathybius","Histiobranchus","Synaphobranchidae","Anguilliformes","Teleostei","(G<fc>nther, 1877)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",1.37,2867.5,"Data Deficient"
"150","Gordiichthys ergodes","Gordiichthys","Ophichthidae","Anguilliformes","Teleostei","McCosker, B<f6>hlke &amp; B<f6>hlke, 1989","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,99.5,"Data Deficient"
"151","Bathycongrus bleekeri","Bathycongrus","Congridae","Anguilliformes","Teleostei","Fowler, 1934","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.08,NA,"Data Deficient"
"152","Ariosoma mellissii","Ariosoma","Congridae","Anguilliformes","Teleostei","(G<fc>nther, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4279999924,NA,"Data Deficient"
"153","Ariosoma megalops","Ariosoma","Congridae","Anguilliformes","Teleostei","Fowler, 1938","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1489999962,NA,"Data Deficient"
"154","Bathycongrus trilineatus","Bathycongrus","Congridae","Anguilliformes","Teleostei","(Castle, 1964)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,225,"Data Deficient"
"155","Rhynchoconger squaliceps","Rhynchoconger","Congridae","Anguilliformes","Teleostei","(Alcock, 1894)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"156","Bascanichthys inopinatus","Bascanichthys","Ophichthidae","Anguilliformes","Teleostei","McCosker, B<f6>hlke &amp; B<f6>hlke, 1989","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"157","Paraconger ophichthys","Paraconger","Congridae","Anguilliformes","Teleostei","(Garman, 1899)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,976.5,"Data Deficient"
"158","Gorgasia cotroneii","Gorgasia","Congridae","Anguilliformes","Teleostei","(D'Ancona, 1928)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"159","Heteroconger balteatus","Heteroconger","Congridae","Anguilliformes","Teleostei","Castle &amp; Randall, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"160","Ilisha obfuscata","Ilisha","Pristigasteridae","Clupeiformes","Teleostei","Wongratana, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.07400000095,25,"Data Deficient"
"161","Pellona dayi","Pellona","Pristigasteridae","Clupeiformes","Teleostei","Wongratana, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.135,25,"Data Deficient"
"162","Acentrogobius ennorensis","Acentrogobius","Gobiidae","Perciformes","Teleostei","Menon &amp; Rema Devi, 1980","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05800000191,NA,"Data Deficient"
"163","Awaous fluviatilis","Awaous","Gobiidae","Perciformes","Teleostei","(Rao, 1971)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.01700000048,NA,"Data Deficient"
"164","Oxyurichthys paulae","Oxyurichthys","Gobiidae","Perciformes","Teleostei","Pezold, 1998","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06840000153,NA,"Data Deficient"
"165","Parapocryptes rictuosus","Parapocryptes","Gobiidae","Perciformes","Teleostei","(Valenciennes, 1837)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,NA,"Data Deficient"
"166","Silhouettea indica","Silhouettea","Gobiidae","Perciformes","Teleostei","Visweswara Rao, 1971","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.035,NA,"Data Deficient"
"167","Cynoglossus dubius","Cynoglossus","Cynoglossidae","Pleuronectiformes","Teleostei","Day, 1873","dd",4.3,17.8,17.85,17,NA,3.5,NA,"demersal",0.5,NA,"Data Deficient"
"168","Zebrias keralensis","Zebrias","Soleidae","Pleuronectiformes","Teleostei","Joglekar, 1976","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"169","Scyliorhinus haeckelii","Scyliorhinus","Scyliorhinidae","Carcharhiniformes","Chondrichthyes","(Miranda Ribeiro, 1907)","dd",1.9,7.7,44.3327789307,24,NA,NA,NA,"demersal",0.6,NA,"Data Deficient"
"170","Cirrhigaleus asper","Cirrhigaleus","Squalidae","Squaliformes","Chondrichthyes","(Merrett, 1973)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",1.2,425,"Data Deficient"
"171","Plecoglossus altivelis","Plecoglossus","Osmeridae","Osmeriformes","Teleostei","(Temminck &amp; Schlegel, 1846)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.7,NA,"Data Deficient"
"172","Eleotris sandwicensis","Eleotris","Eleotridae","Perciformes","Teleostei","Vaillant &amp; Sauvage, 1875","dd",3.1,11.8,1,1,NA,NA,NA,NA,0.33,NA,"Data Deficient"
"173","Lentipes concolor","Lentipes","Gobiidae","Perciformes","Teleostei","(Gill, 1860)","dd",1.4,4,1.7414,3,NA,NA,NA,NA,0.07,NA,"Data Deficient"
"174","Luciogobius pallidus","Luciogobius","Gobiidae","Perciformes","Teleostei","Regan, 1940","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"175","Mordacia lapicida","Mordacia","Mordaciidae","Petromyzontiformes","Cephalaspidomorphi","(Gray, 1851)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.54,NA,"Data Deficient"
"176","Foa madagascariensis","Foa","Apogonidae","Perciformes","Teleostei","Petit, 1931","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,5.5,"Data Deficient"
"177","Paraliparis plagiostomus","Paraliparis","Liparidae","Scorpaeniformes","Teleostei","Stein, Chernova &amp; Andriashev, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1369999981,NA,"Data Deficient"
"178","Cnidoglanis macrocephalus","Cnidoglanis","Plotosidae","Siluriformes","Teleostei","(Valenciennes, 1840)","dd",3.2,14.4,19.745,41,NA,2.8,2500,"demersal",0.91,NA,"Data Deficient"
"179","Callionymus leucobranchialis","Callionymus","Callionymidae","Perciformes","Teleostei","Fowler, 1941","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"180","Thamnaconus melanoproctes","Thamnaconus","Monacanthidae","Tetraodontiformes","Teleostei","(Boulenger, 1889)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,115,"Data Deficient"
"181","Bathycongrus retrotinctus","Bathycongrus","Congridae","Anguilliformes","Teleostei","(Jordan &amp; Snyder, 1901)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.54,300,"Data Deficient"
"182","Apogon semilineatus","Apogon","Apogonidae","Perciformes","Teleostei","Temminck &amp; Schlegel, 1842","dd",0.8,2.3,47.98,40,NA,3.4,NA,NA,0.12,NA,"Data Deficient"
"183","Suezichthys bifurcatus","Suezichthys","Labridae","Perciformes","Teleostei","Russell, 1986","dd",1.2,3.4,1,1,NA,NA,NA,"demersal",0.09,NA,"Data Deficient"
"184","Caulolatilus williamsi","Caulolatilus","Malacanthidae","Perciformes","Teleostei","Dooley &amp; Berry, 1977","dd",NA,NA,NA,NA,NA,NA,1310,"demersal",0.4690000153,NA,"Data Deficient"
"185","Bathypterois oddi","Bathypterois","Ipnopidae","Aulopiformes","Teleostei","Sulak, 1977","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA,"Data Deficient"
"186","Cynoglossus maccullochi","Cynoglossus","Cynoglossidae","Pleuronectiformes","Teleostei","Norman, 1926","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"187","Oneirodes epithales","Oneirodes","Oneirodidae","Lophiiformes","Teleostei","Orr, 1991","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,914.5,"Data Deficient"
"188","Heteroconger taylori","Heteroconger","Congridae","Anguilliformes","Teleostei","Castle &amp; Randall, 1995","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4790000153,10,"Data Deficient"
"189","Callionymus platycephalus","Callionymus","Callionymidae","Perciformes","Teleostei","Fricke, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08630000114,24,"Data Deficient"
"190","Astrabe fasciata","Astrabe","Gobiidae","Perciformes","Teleostei","Akihito &amp; Meguro, 1988","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04800000191,1.5,"Data Deficient"
"191","Chlopsis kazuko","Chlopsis","Chlopsidae","Anguilliformes","Teleostei","Lavenberg, 1988","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1130000019,75,"Data Deficient"
"192","Silhouettea evanida","Silhouettea","Gobiidae","Perciformes","Teleostei","Larson &amp; Miller, 1986","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"193","Amblyeleotris callopareia","Amblyeleotris","Gobiidae","Perciformes","Teleostei","Polunin &amp; Lubbock, 1979","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07800000191,75,"Data Deficient"
"194","Chaenopsis coheni","Chaenopsis","Chaenopsidae","Perciformes","Teleostei","B<f6>hlke, 1957","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,31.5,"Data Deficient"
"195","Psednos andriashevi","Psednos","Liparidae","Scorpaeniformes","Teleostei","Chernova, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.05300000191,NA,"Data Deficient"
"196","Gymnapogon melanogaster","Gymnapogon","Apogonidae","Perciformes","Teleostei","Gon &amp; Golani, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.02299999952,1,"Data Deficient"
"197","Cabillus macrophthalmus","Cabillus","Gobiidae","Perciformes","Teleostei","(Weber, 1909)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,260,"Data Deficient"
"198","Bollmannia stigmatura","Bollmannia","Gobiidae","Perciformes","Teleostei","Gilbert, 1892","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.14,65,"Data Deficient"
"199","Careproctus cactiformis","Careproctus","Liparidae","Scorpaeniformes","Teleostei","Andriashev, 1990","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,467.5,"Data Deficient"
"200","Cirrhilabrus rhomboidalis","Cirrhilabrus","Labridae","Perciformes","Teleostei","Randall, 1988","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.085,NA,"Data Deficient"
"201","Apodocreedia vanderhorsti","Apodocreedia","Creediidae","Perciformes","Teleostei","de Beaufort, 1948","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.08,8,"Data Deficient"
"202","Bathymaster derjugini","Bathymaster","Bathymasteridae","Perciformes","Teleostei","Lindberg, 1930","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.18,32.5,"Data Deficient"
"203","Synclidopus macleayanus","Synclidopus","Soleidae","Pleuronectiformes","Teleostei","(Ramsay, 1881)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.28,NA,"Data Deficient"
"204","Psednos harteli","Psednos","Liparidae","Scorpaeniformes","Teleostei","Chernova, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.04800000191,504,"Data Deficient"
"205","Xenomystax trucidans","Xenomystax","Congridae","Anguilliformes","Teleostei","Alcock, 1894","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.645,NA,"Data Deficient"
"206","Congrogadus winterbottomi","Congrogadus","Pseudochromidae","Perciformes","Teleostei","Gill, Mooi &amp; Hutchins, 2000","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1189999962,0.5,"Data Deficient"
"207","Acreichthys hajam","Acreichthys","Monacanthidae","Tetraodontiformes","Teleostei","(Bleeker, 1851)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07,NA,"Data Deficient"
"208","Thamnaconus fijiensis","Thamnaconus","Monacanthidae","Tetraodontiformes","Teleostei","Hutchins &amp; Matsuura, 1984","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.1530000019,170,"Data Deficient"
"209","Acanthistius brasilianus","Acanthistius","Serranidae","Perciformes","Teleostei","(Cuvier, 1828)","dd",3.7,15.9,25.1,27,NA,4,NA,"benthopelagic",0.6,NA,"Data Deficient"
"210","Plectranthias pallidus","Plectranthias","Serranidae","Perciformes","Teleostei","Randall &amp; Hoese, 1995","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA,"Data Deficient"
"211","Congrogadus amplimaculatus","Congrogadus","Pseudochromidae","Perciformes","Teleostei","(Winterbottom, 1980)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1289999962,NA,"Data Deficient"
"212","Coloconger japonicus","Coloconger","Colocongridae","Anguilliformes","Teleostei","Machida, 1984","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.56,NA,"Data Deficient"
"213","Allomycterus pilatus","Allomycterus","Diodontidae","Tetraodontiformes","Teleostei","Whitley, 1931","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5,155,"Data Deficient"
"214","Careproctus minimus","Careproctus","Liparidae","Scorpaeniformes","Teleostei","Andriashev &amp; Stein, 1998","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"215","Chromis flavicauda","Chromis","Pomacentridae","Perciformes","Teleostei","(G<fc>nther, 1880)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07,55.5,"Data Deficient"
"216","Callionymus whiteheadi","Callionymus","Callionymidae","Perciformes","Teleostei","Fricke, 1981","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,160,"Data Deficient"
"217","Careproctus mederi","Careproctus","Liparidae","Scorpaeniformes","Teleostei","Schmidt, 1916","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,576,"Data Deficient"
"218","Halichoeres melas","Halichoeres","Labridae","Perciformes","Teleostei","Randall &amp; Earle, 1994","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1210000038,9.5,"Data Deficient"
"219","Dactyloscopus zelotes","Dactyloscopus","Dactyloscopidae","Perciformes","Teleostei","Jordan &amp; Gilbert, 1896","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07190000057,NA,"Data Deficient"
"220","Platycephalus indicus","Platycephalus","Platycephalidae","Scorpaeniformes","Teleostei","(Linnaeus, 1758)","dd",1.6,7,76.5167,142,"carnivorous",3.6,3500,"reef-associated",0.8,110,"Data Deficient"
"221","Caulolatilus dooleyi","Caulolatilus","Malacanthidae","Perciformes","Teleostei","Berry, 1978","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.35,237.5,"Data Deficient"
"222","Callionymus macclesfieldensis","Callionymus","Callionymidae","Perciformes","Teleostei","Fricke, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0503000021,79.5,"Data Deficient"
"223","Prognatholiparis ptychomandibularis","Prognatholiparis","Liparidae","Scorpaeniformes","Teleostei","Orr &amp; Busby, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.08800000191,NA,"Data Deficient"
"224","Chirolophis snyderi","Chirolophis","Stichaeidae","Perciformes","Teleostei","(Taranetz, 1938)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,245,"Data Deficient"
"225","Asarcenchelys longimanus","Asarcenchelys","Ophichthidae","Anguilliformes","Teleostei","McCosker, 1985","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"226","Centropogon latifrons","Centropogon","Scorpaenidae","Scorpaeniformes","Teleostei","Mees, 1962","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.125,NA,"Data Deficient"
"227","Brachysomophis longipinnis","Brachysomophis","Ophichthidae","Anguilliformes","Teleostei","McCosker &amp; Randall, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4209999847,NA,"Data Deficient"
"228","Austroglossus microlepis","Austroglossus","Soleidae","Pleuronectiformes","Teleostei","(Bleeker, 1863)","dd",NA,NA,NA,NA,NA,NA,4000,"bathydemersal",0.75,250,"Data Deficient"
"229","Araiophos eastropas","Araiophos","Sternoptychidae","Stomiiformes","Teleostei","Ahlstrom &amp; Moser, 1969","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA,"Data Deficient"
"230","Antimora microlepis","Antimora","Moridae","Gadiformes","Teleostei","Bean, 1890","dd",7.2,31.8,44.4433,84,NA,3.5,2100,"bathypelagic",0.75,NA,"Data Deficient"
"231","Careproctus pallidus","Careproctus","Liparidae","Scorpaeniformes","Teleostei","(Vaillant, 1888)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,17,"Data Deficient"
"232","Bathylaco macrophthalmus","Bathylaco","Bathylaconidae","Osmeriformes","Teleostei","Nielsen &amp; Larsen, 1968","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA,"Data Deficient"
"233","Serranus atricauda","Serranus","Serranidae","Perciformes","Teleostei","G<fc>nther, 1874","dd",NA,NA,NA,NA,"carnivorous",4.3,NA,"demersal",0.2,30,"Data Deficient"
"234","Prognathodes guezei","Prognathodes","Chaetodontidae","Perciformes","Teleostei","(Maug<e9> &amp; Bauchot, 1976)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.11,NA,"Data Deficient"
"235","Prognathodes guyotensis","Prognathodes","Chaetodontidae","Perciformes","Teleostei","(Yamamoto &amp; Tameka, 1982)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.15,300,"Data Deficient"
"236","Chaetodon ocellicaudus","Chaetodon","Chaetodontidae","Perciformes","Teleostei","Cuvier, 1831","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,26.5,"Data Deficient"
"237","Chaetodon bennetti","Chaetodon","Chaetodontidae","Perciformes","Teleostei","Cuvier, 1831","dd",0.9,3.1,53.45,157,NA,3.3,NA,"reef-associated",0.2,NA,"Data Deficient"
"238","Chaetodon andamanensis","Chaetodon","Chaetodontidae","Perciformes","Teleostei","Kuiter &amp; Debelius, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,25,"Data Deficient"
"239","Chaetodon reticulatus","Chaetodon","Chaetodontidae","Perciformes","Teleostei","Cuvier, 1831","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.18,20.5,"Data Deficient"
"240","Amphichaetodon melbae","Amphichaetodon","Chaetodontidae","Perciformes","Teleostei","Burgess &amp; Caldwell, 1978","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.145,11.5,"Data Deficient"
"241","Apolemichthys guezei","Apolemichthys","Pomacanthidae","Perciformes","Teleostei","(Randall &amp; Maug<e9>, 1978)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,70,"Data Deficient"
"242","Chaetodontoplus caeruleopunctatus","Chaetodontoplus","Pomacanthidae","Perciformes","Teleostei","Yasuda &amp; Tominaga, 1976","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,27.5,"Data Deficient"
"243","Conocara nigrum","Conocara","Alepocephalidae","Osmeriformes","Teleostei","(G<fc>nther, 1878)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"244","Bathygobius ostreicola","Bathygobius","Gobiidae","Perciformes","Teleostei","(Chaudhuri, 1916)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05,NA,"Data Deficient"
"245","Scomberomorus guttatus","Scomberomorus","Scombridae","Perciformes","Teleostei","(Bloch &amp; Schneider, 1801)","dd",1.9,8,55.1467,90,NA,4.3,NA,"pelagic-neritic",0.76,NA,"Data Deficient"
"246","Istiompax indica","Istiompax","Istiophoridae","Perciformes","Teleostei","(Cuvier, 1832)","dd",NA,NA,NA,NA,NA,NA,750000,"pelagic-oceanic",4.65,457.5,"Data Deficient"
"247","Tetrapturus angustirostris","Tetrapturus","Istiophoridae","Perciformes","Teleostei","Tanaka, 1915","dd",1.3,6.1,71.3167,236,NA,4.5,52000,"pelagic-oceanic",2.3,NA,"Data Deficient"
"248","Rastrelliger brachysoma","Rastrelliger","Scombridae","Perciformes","Teleostei","(Bleeker, 1851)","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.345,107.5,"Data Deficient"
"249","Rastrelliger faughni","Rastrelliger","Scombridae","Perciformes","Teleostei","Matsui, 1967","dd",0.6,1.9,33.9933,66,NA,3.4,750,"pelagic-neritic",0.2,NA,"Data Deficient"
"250","Rastrelliger kanagurta","Rastrelliger","Scombridae","Perciformes","Teleostei","(Cuvier, 1816)","dd",0.6,1.9,65.25,154,"omnivorous",3.2,NA,"pelagic-neritic",0.3,35.5,"Data Deficient"
"251","Tetrapturus georgii","Tetrapturus","Istiophoridae","Perciformes","Teleostei","Lowe, 1841","dd",NA,NA,NA,NA,"carnivorous",4.4,21500,"pelagic-oceanic",1.5,100.5,"Data Deficient"
"252","Scomberomorus sinensis","Scomberomorus","Scombridae","Perciformes","Teleostei","(Lacep<e8>de, 1800)","dd",4.1,20.7,1,1,NA,4.5,131,"pelagic-neritic",2.18,NA,"Data Deficient"
"253","Scomberomorus plurilineatus","Scomberomorus","Scombridae","Perciformes","Teleostei","Fourmanoir, 1966","dd",1.2,4.9,34.7764409,129,NA,4.2,12500,"pelagic-neritic",1.2,NA,"Data Deficient"
"254","Thunnus tonggol","Thunnus","Scombridae","Perciformes","Teleostei","(Bleeker, 1851)","dd",2,8.9,61.35,90,NA,4.5,35900,"pelagic-neritic",1.45,NA,"Data Deficient"
"255","Scomberomorus niphonius","Scomberomorus","Scombridae","Perciformes","Teleostei","(Cuvier, 1832)","dd",0.8,3.2,14.09,7,NA,4.5,8010,"pelagic-neritic",1,NA,"Data Deficient"
"256","Cerdale paludicola","Cerdale","Microdesmidae","Perciformes","Teleostei","Dawson, 1974","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"257","Cerdale prolata","Cerdale","Microdesmidae","Perciformes","Teleostei","Dawson, 1974","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"258","Clarkichthys bilineatus","Clarkichthys","Microdesmidae","Perciformes","Teleostei","(Clark, 1936)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06199999809,4,"Data Deficient"
"259","Microdesmus affinis","Microdesmus","Microdesmidae","Perciformes","Teleostei","Meek &amp; Hildebrand, 1928","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
