date,data_src,class,order,family,genus_species,length_m,mature_age,longevity,lat_range,long_range,trophic_level
2013-02-01,fph,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus fuscus,0.33,1.7,6.5,19.965,34,3.2
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Tetraodontidae,Lagocephalus inermis,0.9,5.3,24,64.07,137,NA
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Tetraodontidae,Torquigener whitleyi,0.098,0.9,2.5,15.55,41,NA
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Tetraodontidae,Contusus richei,0.254,3.1,11.5,45.8830014,59,NA
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides angusticeps,0.25,1.7,6,16.78389,13,NA
2013-02-01,fph,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon typus,20,9,58.8,86.5833320618,343,3.6
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Monacanthidae,Cantherhines dumerilii,0.38,3.4,13.5,63.4722,242,3.1
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Monacanthidae,Cantherhines pullus,0.2,2.1,7.4,66.649,69,2.6
2013-02-01,fph,Actinopterygii,Perciformes,Haemulidae,Parakuhlia macrophthalmus,0.2,1.6,5.5,2.13222,2,NA
2013-02-01,fph,Actinopterygii,Perciformes,Sparidae,Sparodon durbanensis,1.2,6.9,32,7.1989,15,3.4
2013-02-01,fph,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna media,1.5,2.5,12,25.7900006771,38,NA
2013-02-01,fph,Actinopterygii,Perciformes,Sparidae,Lithognathus lithognathus,2,6.1,28.6,15.1319,25,2.9
2013-02-01,fph,Actinopterygii,Perciformes,Uranoscopidae,Selenoscopus turbisquamatus,0.29100000000000004,2.6,9.8,NA,NA,NA
2013-02-01,fph,Actinopterygii,Lophiiformes,Ogcocephalidae,Halieutichthys aculeatus,0.1,2.2,6.8,62.67503,282,NA
2013-02-01,fph,Actinopterygii,Perciformes,Mullidae,Upeneus parvus,0.3,1.6,6,74.4165,93,3.9
2013-02-01,fph,Actinopterygii,Perciformes,Serranidae,Centropristis ocyurus,0.3,2.2,8.1,21.5833,31,NA
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Bothidae,Engyophrys senta,0.1,1.4,4.2,61.2499,66,NA
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Triglidae,Bellator militaris,0.125,1.1,3.3,30.82,43,NA
2013-02-01,fph,Actinopterygii,Gadiformes,Macrouridae,Coelorinchus caribbaeus,0.45,3.5,14.2,52.5122,58,NA
2013-02-01,fph,Actinopterygii,Gadiformes,Macrouridae,Coryphaenoides leptolepis,0.62,4.4,19.1,113.7817,160,3.7
2013-02-01,fph,Actinopterygii,Perciformes,Nototheniidae,Patagonotothen brevicauda brevicauda,0.23,2.4,8.6,NA,NA,NA
2013-02-01,fph,Actinopterygii,Perciformes,Serranidae,Mycteroperca rubra,1.44,7.4,36.1,57.0833,45,4.1
2013-02-01,fph,Actinopterygii,Gadiformes,Macrouridae,Coelorinchus caelorhincus,0.48,5.5,18.9,80.6503,110,3.6
2013-02-01,fph,Actinopterygii,Gadiformes,Macrouridae,Nezumia coheni,0.4,3.2,12.9,19.1333,21,NA
2013-02-01,fph,Actinopterygii,Gadiformes,Macrouridae,Coryphaenoides guentheri,0.5,3.8,15.9,44.2417,63,3.3
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Bodianus diplotaenia,0.76,5.9,26.1,39.07,42,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Haemulidae,Pomadasys corvinaeformis,0.25,1.9,6.9,53.3639,53,3.4
2013-02-01,fph,Actinopterygii,Clupeiformes,Clupeidae,Sardinella aurita,0.31,2.8,11.1,82.72,219,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Notolabrus fucicola,0.38,4.7,19,10.8967,37,3.5
2013-02-01,fph,Actinopterygii,Perciformes,Plesiopidae,Notograptus guttatus,0.106,1.7,5.2,13.5,29,3.6
2013-02-01,fph,Actinopterygii,Perciformes,Uranoscopidae,Genyagnus monopterygius,0.45,3.1,12.4,13.0086,7,4.5
2013-02-01,fph,Actinopterygii,Gadiformes,Moridae,Lotella rhacina,0.5,2.3,9.2,13.35,60,NA
2013-02-01,fph,Actinopterygii,Beloniformes,Exocoetidae,Fodiator rostratus,0.19,0.7,2.1,32.78,38,NA
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes trivittatus,0.62,4.1,17,1,1,NA
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Psychrolutidae,Cottunculus thomsonii,0.35,5.5,21.8,69.8167,85,3.5
2013-02-01,fph,Actinopterygii,Perciformes,Epigonidae,Epigonus constanciae,0.19699999999999998,2.9,10.1,56.2857,41,NA
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Monacanthidae,Acanthaluteres vittiger,0.35,3.2,12.4,54.8,37,2
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Monacanthidae,Thamnaconus modestus,0.36,3.3,12.9,15.72,11,3.4
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Monacanthidae,Thamnaconus septentrionalis,0.23,2.8,10.1,NA,NA,NA
2013-02-01,fph,Actinopterygii,Myctophiformes,Neoscopelidae,Neoscopelus macrolepidotus,0.25,2.5,9.1,81.5397,329,4.2
